C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/median,C0/p10,C0/p90
2020-06-22T00:00:00.000Z,-0.000010429022040625568,0.000030875529773766175,0.000007028097250441012,0.0000069396220052246676,0.000006863986527605448,-0.0000025495623958704527,0.000015046249245642684
2020-06-23T00:00:00.000Z,-0.00001189707199955592,0.000036932389775756747,0.000008193158866073116,0.000006886125905627968,0.00000852061748446431,-2.494417685738881e-7,0.000016766245607868768
2020-06-24T00:00:00.000Z,-0.000001329267206529039,0.000030055660317884758,0.000009921343454542308,0.000006241442823264567,0.000009888065505947452,4.795487029696233e-7,0.000018069104044116102
2020-06-25T00:00:00.000Z,-0.000011444450137787499,0.000046909637603675947,0.000010500297536294721,0.000010248464025862118,0.000009614446753403172,-0.0000016137435068230843,0.000027462037905934267
2020-06-26T00:00:00.000Z,-0.000004187083504803013,0.00004319783329265192,0.000014937550139247601,0.000008823630604336725,0.000014920235116733238,0.0000037964596231176984,0.000027459656848805025
2020-06-28T00:00:00.000Z,-0.000006483652214228641,0.00003516127617331222,0.000012124090313201226,0.00000831668930177833,0.000011594279385462869,0.000002504642452549888,0.000023702123144175857
2020-06-29T00:00:00.000Z,-0.000014096050108491909,0.000017997928807744756,4.6724037165450407e-7,0.0000074364611531996,2.883409990772634e-7,-0.000008906020411814097,0.000017997928807744756
2020-06-30T00:00:00.000Z,-0.000023004860850051045,0.0000320478793582879,0.000005857500838307412,0.00000870631594857066,0.000005758443421655102,-0.000005019809123041341,0.000017261678294744343
2020-07-01T00:00:00.000Z,-0.00002348020461795386,0.00003458853825577535,0.000007065364679493754,0.000008465119940435721,0.000007404144980682759,-0.000003318109065730823,0.0000177949095814256
2020-07-02T00:00:00.000Z,-0.0000027275934826320736,0.00004310141594032757,0.000014669555622347607,0.000009529154614329872,0.000012792540474038105,0.000004962610546499491,0.00002736928036028985
2020-07-03T00:00:00.000Z,-0.000007561735401395708,0.000023402853912557475,0.000009767772946860994,0.000006803568835085896,0.000009787428098206874,0.0000010819951512530679,0.000019902019630535506
2020-07-04T00:00:00.000Z,-0.000019423152480158024,0.000017333817595499568,0.000003349435808688341,0.000005839925469278778,0.0000033712528875184944,-0.000004121068286622176,0.000010949599527521059
2020-07-05T00:00:00.000Z,-0.000017364560335408896,0.000019319473722134717,0.0000029793531868641913,0.000006340629996502248,0.000003219234258722281,-0.000005383404641179368,0.000010924305570370052
2020-07-07T00:00:00.000Z,-0.000014174807802191935,0.00001895683817565441,0.0000045355187448980026,0.000007668274148697858,0.0000054466463552671485,-0.000005977009095659014,0.000016178844816749915
2020-07-08T00:00:00.000Z,-0.000011181424270034768,0.000021768193619209342,0.000004671251760631393,0.000006157801151723057,0.000005007064373785397,-0.000003895846475643339,0.000012848988262703642
2020-07-09T00:00:00.000Z,-0.000012954214071214665,0.00003739539533853531,0.000009483857199622475,0.000007154773914381223,0.000009515374586044345,2.0681849832726584e-7,0.0000184242453542538
2020-07-10T00:00:00.000Z,-0.000015921534213703126,0.00003307434599264525,0.000008142797217879483,0.000006297408037053789,0.000007846190783311613,0.0000010979703120028717,0.00001688982592895627
2020-07-11T00:00:00.000Z,-0.000019194607375538908,0.000041818173485808074,0.000007295603037092462,0.000008069749936756878,0.0000073721548687899485,-0.000002072841198241804,0.000018289330910192803
2020-07-12T00:00:00.000Z,-0.00002058415520878043,0.000044468983105616644,0.00000886800092688242,0.00000921696536648152,0.000008433550647168886,-0.0000013367849760470563,0.000019426794096943922
2020-07-13T00:00:00.000Z,-0.000026092091502505355,0.00002942096398328431,0.000004780414382922584,0.000007978872251547636,0.000005177442290005274,-0.0000046863046918588225,0.000015465520846191794
2020-07-14T00:00:00.000Z,-0.00001587599763297476,0.00003091021062573418,0.000003919366837072023,0.000007964287843010717,0.0000046323207243403886,-0.0000064088599174283445,0.000013634638889925554
2020-07-15T00:00:00.000Z,-0.000016060379493865184,0.00003499273952911608,0.000008705835395814118,0.000007718342392174058,0.000008624606380180921,-0.000001416728196090844,0.00001838253410824109
2020-07-16T00:00:00.000Z,-0.0000198555917449994,0.000031553128792438656,0.000006321787081947815,0.000008190826668744937,0.000006237045454327017,-0.000004535423613560852,0.000016740143109927885
2020-07-17T00:00:00.000Z,-0.000030428362151724286,0.000041369123209733516,0.0000073995853789311945,0.000009411189669354999,0.000007082939646352315,-0.000003872824891004711,0.000019447970771580003
2020-07-18T00:00:00.000Z,-0.000021453788576764055,0.000032922365790000185,0.000007570258986375454,0.000007804337363821126,0.000007472700872312998,-0.0000015619814348610817,0.000017934169591171667
2020-07-19T00:00:00.000Z,-0.000001817493739508791,0.00003889940489898436,0.00001339002916490217,0.000007439860786753526,0.000013408487575361505,0.0000045838364712835755,0.000025718654796946794
2020-07-20T00:00:00.000Z,-0.000026285642888979055,0.000014418297723750584,-0.00000677337717216799,0.000005596722543651173,-0.000006675847544101998,-0.000013687877071788535,0.0000010020537501986837
2020-07-21T00:00:00.000Z,-0.000022624330085818656,0.000030909981433069333,0.000004695891827934273,0.000008036493224609993,0.000005131316356710158,-0.000005212606538407272,0.000015510435332544148
2020-07-22T00:00:00.000Z,-0.00001958271604962647,0.0000342221355822403,0.0000070183890809736786,0.000008463393976624668,0.000006601457698707236,-0.0000027529576982487924,0.00001819010140025057
2020-07-23T00:00:00.000Z,-0.000022980411813477986,0.0000261148397839861,0.000002704866949354347,0.000009073457454484116,0.0000032451798688271083,-0.000008146193977154326,0.000013829240742779803
